Well;Unit;Facies;Top Depth;Facies Thickness;Flow Thickness;Core Prop.;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (14.96 m) ;365,68;14,96;28,24;0,40;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (11.28 m) ;380,64;11,28;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (2.00 m) ;391,92;2,00;;;;;;;;
1-AV-001-PR;Paranapanema; 1Volcaniclastics (undiff.):  (6.00 m) ;393,92;6,00;6,00;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (5.92 m) ;399,92;5,92;8,48;0,23;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (1.92 m) ;405,84;1,92;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (0.64 m) ;407,76;0,64;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (2.64 m) ;408,40;2,64;2,64;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (4.64 m) ;411,04;4,64;9,04;0,38;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (3.44 m) ;415,68;3,44;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (0.96 m) ;419,12;0,96;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | rubbly flow top):  (9.52 m) ;420,08;9,52;23,92;0,53;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (12.64 m) ;429,60;12,64;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.76 m) ;442,24;1,76;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (2.40 m) ;444,00;2,40;2,40;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (15.52 m) ;446,40;15,52;15,52;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | rubbly flow top):  (3.36 m) ;461,92;3,36;10,48;0,47;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (4.88 m) ;465,28;4,88;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (2.24 m) ;470,16;2,24;;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (0.16 m) ;472,40;0,16;0,16;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | rubbly flow top):  (6.64 m) ;472,56;6,64;12,80;0,41;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (5.28 m) ;479,20;5,28;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (0.88 m) ;484,48;0,88;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (1.12 m) ;485,36;1,12;1,12;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (4.00 m) ;486,48;4,00;20,48;0,76;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (15.52 m) ;490,48;15,52;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (0.96 m) ;506,00;0,96;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (3.44 m) ;506,96;3,44;3,44;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | rubbly flow top):  (13.28 m) ;510,40;13,28;24,16;0,39;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (9.44 m) ;523,68;9,44;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.44 m) ;533,12;1,44;;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (16.16 m) ;534,56;16,16;16,16;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. high GR):  (1.52 m) ;550,72;1,52;1,52;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (8.96 m) ;552,24;8,96;50,00;0,79;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (39.44 m) ;561,20;39,44;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.60 m) ;600,64;1,60;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (4.24 m) ;602,24;4,24;4,24;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (3.73 m) ;606,48;3,73;3,73;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (2.88 m) ;610,21;2,88;15,15;0,27;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (4.03 m) ;613,09;4,03;;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (8.24 m) ;617,12;8,24;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (1.60 m) ;625,36;1,60;1,60;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (7.49 m) ;626,96;7,49;13,41;0,32;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (4.24 m) ;634,45;4,24;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.68 m) ;638,69;1,68;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (11.63 m) ;640,37;11,63;46,67;0,72;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (33.60 m) ;652,00;33,60;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.44 m) ;685,60;1,44;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. high GR):  (2.05 m) ;687,04;2,05;2,05;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (9.87 m) ;689,09;9,87;23,15;0,53;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (12.16 m) ;698,96;12,16;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.12 m) ;711,12;1,12;;;;;;;;
1-AV-001-PR;Pitanga II; Simple lava (basic | rubbly flow top):  (12.00 m) ;712,24;12,00;20,96;0,36;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-AV-001-PR;Pitanga II; Simple lava (basic | massive interior):  (7.52 m) ;724,24;7,52;;;128,56;33,12;0,51;0,52;0,48;0,00
1-AV-001-PR;Pitanga II; Simple lava (basic | L. crust):  (1.44 m) ;731,76;1,44;;;;;;66,24;62,32;0,00
1-AV-001-PR;Pitanga II; Compound lava (basic):  (49.28 m) ;733,20;49,28;49,28;;;;;;;
1-AV-001-PR;Pitanga II; Simple lava (basic | rubbly flow top):  (6.48 m) ;782,48;6,48;45,28;0,82;;;;;;
1-AV-001-PR;Pitanga II; Simple lava (basic | massive interior):  (36.96 m) ;788,96;36,96;;;;;;;;
1-AV-001-PR;Pitanga II; Simple lava (basic | L. crust):  (1.84 m) ;825,92;1,84;;;;;;;;
1-AV-001-PR;Pitanga II; Compound lava (basic):  (13.04 m) ;827,76;13,04;13,04;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (5.28 m) ;840,80;5,28;15,68;0,58;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (9.12 m) ;846,08;9,12;;;109,68;27,68;0,56;0,76;0,20;0,04
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.28 m) ;855,20;1,28;;;;;;83,04;22,00;4,64
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (1.12 m) ;856,48;1,12;;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (14.88 m) ;857,60;14,88;14,88;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (14.16 m) ;872,48;14,16;56,00;0,73;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (40.72 m) ;886,64;40,72;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.12 m) ;927,36;1,12;;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (7.12 m) ;928,48;7,12;7,12;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (4.00 m) ;935,60;4,00;11,36;0,37;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (4.24 m) ;939,60;4,24;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (3.12 m) ;943,84;3,12;;;;;;;;
1-AV-001-PR;Interbed PP; Siliciclastics (undiff. low GR):  (3.52 m) ;946,96;3,52;3,52;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (24.88 m) ;950,48;24,88;24,88;;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-AV-001-PR;Pitanga; Siliciclastics (undiff. low GR):  (1.76 m) ;975,36;1,76;1,76;;674,40;23,79;0,51;0,71;0,26;0,03
1-AV-001-PR;Pitanga; Compound lava (basic):  (10.32 m) ;977,12;10,32;10,32;;;;;475,71;175,95;22,74
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (7.92 m) ;987,44;7,92;36,56;0,75;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (27.44 m) ;995,36;27,60;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.04 m) ;1022,96;1,04;;;;;;;;
1-AV-001-PR;Pitanga; Siliciclastics (undiff. low GR):  (0.96 m) ;1024,00;0,96;0,96;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (9.20 m) ;1024,96;9,20;9,20;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (2.53 m) ;1034,16;2,53;9,01;0,45;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (4.08 m) ;1036,69;4,08;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (2.40 m) ;1040,77;2,40;;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (3.92 m) ;1043,17;3,92;3,92;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (5.95 m) ;1047,09;5,95;5,95;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (7.60 m) ;1053,04;7,60;13,52;0,30;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (4.00 m) ;1060,64;4,00;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.92 m) ;1064,64;1,92;;;;;;;;
1-AV-001-PR;Pitanga; Siliciclastics (undiff. low GR):  (5.89 m) ;1066,56;5,89;5,89;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (9.15 m) ;1072,45;9,15;16,27;0,32;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (5.20 m) ;1081,60;5,20;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.92 m) ;1086,80;1,92;;;;;;;;
1-AV-001-PR;Pitanga; Siliciclastics (undiff. low GR):  (0.48 m) ;1088,72;0,48;0,48;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (8.40 m) ;1089,20;8,40;30,80;0,65;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (20.16 m) ;1097,60;20,16;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (2.24 m) ;1117,76;2,24;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (2.64 m) ;1120,00;2,64;33,12;0,89;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (29.52 m) ;1122,64;29,52;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (0.96 m) ;1152,16;0,96;;;;;;;;
1-AV-001-PR;Pitanga; 1Volcaniclastics (undiff.):  (0.96 m) ;1153,12;0,96;0,96;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (6.32 m) ;1154,08;6,32;6,32;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (7.44 m) ;1160,40;7,44;19,97;0,54;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (10.80 m) ;1167,84;10,80;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.73 m) ;1178,64;1,73;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | rubbly flow top):  (6.99 m) ;1180,37;6,99;16,03;0,45;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (7.28 m) ;1187,36;7,28;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.76 m) ;1194,64;1,76;;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (34.08 m) ;1196,40;34,08;34,08;;;;;;;
1-AV-001-PR;Pitanga; 1Volcaniclastics (undiff.):  (1.52 m) ;1230,48;1,52;1,52;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (10.96 m) ;1232,00;10,96;21,92;0,41;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (9.04 m) ;1242,96;9,04;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.92 m) ;1252,00;1,92;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (9.97 m) ;1253,92;9,97;18,56;0,36;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (6.67 m) ;1263,89;6,67;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.92 m) ;1270,56;1,92;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (7.81 m) ;1272,48;7,81;13,28;0,30;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (4.03 m) ;1280,29;4,03;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.44 m) ;1284,32;1,44;;;;;;;;
1-AV-001-PR;Pitanga; 1Volcaniclastics (undiff.):  (1.17 m) ;1285,76;1,17;1,17;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (14.16 m) ;1286,93;14,16;50,51;0,69;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (35.07 m) ;1301,09;35,07;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.28 m) ;1336,16;1,28;;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (16.40 m) ;1337,44;16,40;16,40;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (9.52 m) ;1353,84;9,52;27,04;0,60;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (16.24 m) ;1363,36;16,24;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.28 m) ;1379,60;1,28;;;;;;;;
1-AV-001-PR;Pitanga; Siliciclastics (undiff. low GR):  (1.52 m) ;1380,88;1,52;1,52;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (10.80 m) ;1382,40;10,80;35,28;0,66;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (23.36 m) ;1393,20;23,36;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.12 m) ;1416,56;1,12;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (18.72 m) ;1417,68;18,72;35,44;0,44;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (15.68 m) ;1436,40;15,68;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.04 m) ;1452,08;1,04;;;;;;;;
1-AV-001-PR;Pitanga; Siliciclastics (undiff. high GR):  (1.44 m) ;1453,12;1,44;1,44;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (15.92 m) ;1454,56;15,92;15,92;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (7.44 m) ;1470,48;7,44;17,44;0,49;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (8.40 m) ;1477,92;8,56;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.44 m) ;1486,48;1,44;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (9.17 m) ;1487,92;9,17;24,40;0,58;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (14.11 m) ;1497,09;14,11;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.12 m) ;1511,20;1,12;;;;;;;;
1-AV-001-PR;Pitanga; Siliciclastics (undiff. high GR):  (4.24 m) ;1512,32;4,24;4,24;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (8.53 m) ;1516,56;8,53;20,96;0,47;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (9.87 m) ;1525,09;9,87;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (2.56 m) ;1534,96;2,56;;;;;;;;
1-AV-001-PR;Pitanga; Compound lava (basic):  (48.96 m) ;1537,52;48,96;48,96;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | rubbly flow top):  (4.88 m) ;1586,48;4,88;10,96;0,41;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (4.48 m) ;1591,36;4,48;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.60 m) ;1595,84;1,60;;;;;;;;
1-AV-001-PR;Pitanga; Siliciclastics (undiff. low GR):  (2.80 m) ;1597,44;2,80;2,80;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | U. crust):  (12.88 m) ;1600,24;12,88;24,64;0,41;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | massive interior):  (10.00 m) ;1613,12;10,00;;;;;;;;
1-AV-001-PR;Pitanga; Simple lava (basic | L. crust):  (1.76 m) ;1623,12;1,76;;;;;;;;
1-AV-001-PR;Vale do Sol; Compound lava (basic):  (14.40 m) ;1624,88;14,40;14,40;;116,61;36,40;0,66;0,62;0,38;0,00
1-AV-001-PR;Vale do Sol; Simple lava (basic | U. crust):  (7.81 m) ;1639,28;7,81;36,96;0,64;;;;72,80;43,81;0,00
1-AV-001-PR;Vale do Sol; Simple lava (basic | massive interior):  (23.71 m) ;1647,09;23,71;;;;;;;;
1-AV-001-PR;Vale do Sol; Simple lava (basic | L. crust):  (5.44 m) ;1670,80;5,44;;;;;;;;
1-AV-001-PR;Vale do Sol; Compound lava (basic):  (11.52 m) ;1676,24;11,52;11,52;;;;;;;
1-AV-001-PR;Vale do Sol; Simple lava (basic | U. crust):  (9.89 m) ;1687,76;9,89;35,84;0,69;;;;;;
1-AV-001-PR;Vale do Sol; Simple lava (basic | massive interior):  (24.67 m) ;1697,65;24,67;;;;;;;;
1-AV-001-PR;Vale do Sol; Simple lava (basic | L. crust):  (1.28 m) ;1722,32;1,28;;;;;;;;
1-AV-001-PR;Vale do Sol; Compound lava (basic):  (17.89 m) ;1723,60;17,89;17,89;;;;;;;
1-CS-002-PR;Paranapanema;Simple lava (basic | massive interior):  (3.65 m) ;42,19;3,65;;;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-CS-002-PR;Paranapanema;Simple lava (basic | L. crust):  (1.12 m) ;45,84;1,12;;;43,57;37,28;0,65;0,97;0,00;0,03
1-CS-002-PR;Paranapanema;Siliciclastics (undiff. low GR):  (1.52 m) ;46,96;1,52;;;;;;42,05;0,00;1,52
1-CS-002-PR;Paranapanema;Simple lava (basic | U. crust):  (11.60 m) ;48,48;11,60;37,28;0,65;;;;;;
1-CS-002-PR;Paranapanema;Simple lava (basic | massive interior):  (24.24 m) ;60,08;24,24;;;;;;;;
1-CS-002-PR;Paranapanema;Simple lava (basic | L. crust):  (1.44 m) ;84,32;1,44;;;;;;;;
1-CS-002-PR;Pitanga;Siliciclastics (undiff. low GR):  (2.72 m) ;85,76;2,72;2,72;;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (7.12 m) ;88,48;7,12;32,00;0,72;455,63;31,30;0,66;0,89;0,06;0,05
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (22.96 m) ;95,60;22,96;;;;;;406,88;27,60;21,15
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (1.92 m) ;118,56;1,92;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (4.91 m) ;120,48;4,91;22,80;0,67;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (15.20 m) ;125,39;15,20;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (2.69 m) ;140,59;2,69;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top):  (11.60 m) ;143,28;11,60;39,36;0,62;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (24.51 m) ;154,88;24,51;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (3.25 m) ;179,39;3,25;;;;;;;;
1-CS-002-PR;Pitanga;Siliciclastics (undiff. low GR):  (1.12 m) ;182,64;1,12;1,12;;;;;;;
1-CS-002-PR;Pitanga;Compound lava (basic):  (14.08 m) ;183,76;14,08;14,08;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (2.56 m) ;197,84;2,56;6,00;0,44;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (2.64 m) ;200,40;2,64;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (0.80 m) ;203,04;0,80;;;;;;;;
1-CS-002-PR;Pitanga;Compound lava (basic):  (5.28 m) ;203,84;5,28;5,28;;;;;;;
1-CS-002-PR;Pitanga;Siliciclastics (undiff. low GR):  (2.00 m) ;209,12;2,00;2,00;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (4.16 m) ;211,12;4,16;21,44;0,75;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (16.16 m) ;215,28;16,16;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (1.12 m) ;231,44;1,12;;;;;;;;
1-CS-002-PR;Pitanga;Siliciclastics (undiff. low GR):  (1.23 m) ;232,56;1,23;1,23;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust):  (19.57 m) ;233,79;19,57;56,13;0,62;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (34.80 m) ;253,36;34,80;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (1.76 m) ;288,16;1,76;;;;;;;;
1-CS-002-PR;Pitanga;Siliciclastics (undiff. low GR):  (1.92 m) ;289,92;1,92;1,92;;;;;;;
1-CS-002-PR;Pitanga;Compound lava (basic):  (8.24 m) ;291,84;8,24;8,24;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top):  (14.40 m) ;300,08;14,40;65,44;0,76;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior):  (49.60 m) ;314,48;49,60;;;;;;;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust):  (1.44 m) ;364,08;1,44;;;;;;;;
